country,year,ae_ton_isic_nace
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,609765
can,2010,625165
can,2011,631802
can,2012,636925
can,2013,639396
can,2014,642314
can,2015,647912
can,2016,622641
can,2017,632545
can,2018,642939
can,2019,639121
can,2020,579689
can,2021,594661
can,2022,
can,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,74249.266215
nzl,2009,71010.317398
nzl,2010,71554.561308
nzl,2011,71262.655618
nzl,2012,73355.508901
nzl,2013,72705.479862
nzl,2014,73328.834467
nzl,2015,72896.780796
nzl,2016,70792.561728
nzl,2017,72089.013804
nzl,2018,72650.836044
nzl,2019,73883.061942
nzl,2020,70241.949406
nzl,2021,69006.020564
nzl,2022,
nzl,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,573057.1
gbr,2009,517757.1
gbr,2010,525392.4
gbr,2011,503565.8
gbr,2012,510117.5
gbr,2013,494444.4
gbr,2014,474965.6
gbr,2015,460644.3
gbr,2016,436455.1
gbr,2017,421769.9
gbr,2018,419970.3
gbr,2019,409665.8
gbr,2020,363443.9
gbr,2021,368024.9
gbr,2022,382855
gbr,2023,
